port_number,amount_of_traffic
80,351465039
49317,33933832
554,13066481
443,9366284
13363,6946870
61775,6394424
10885,2739575
53,2017664
993,1845039
22,1233133
524,996922
3128,787383
514,686066
10039,615592
161,436475
37632,412201
20,409888
1714,372455
995,164968
62614,156257
5222,135140
1900,118261
5190,115219
55873,110810
60568,95029
51769,91897
110,90150
57717,88915
59656,80211
33229,79429
2222,79226
47320,78985
57712,75422
6881,75335
13716,72895
8081,68723
49801,66807
49296,66320
123,62624
3306,62430
49918,62157
46397,61719
56485,60740
49297,58462
15490,56663
17226,56627
7445,56398
49375,55250
57714,54121
143,48691
9652,47946
57601,47839
9944,46767
51221,46079
49355,45560
2561,45190
49357,44353
39058,41619
57716,40894
16786,40577
49721,40179
49777,40170
49238,39569
35734,39122
1657,38931
39087,38847
58902,37945
1350,37831
49284,37749
2365,37605
35500,37045
35505,36726
65142,36348
1,35992
49789,35991
1580,35870
39057,35824
52873,35163
35969,35154
33033,35128
49299,34917
57658,34678
49231,34442
32772,34372
60774,34255
38089,34010
60764,33930
64995,33753
49758,33588
63714,32970
58129,32943
57216,32917
38086,32346
49184,31959
57715,31801
35576,31746
18924,31620
2581,31292
27148,30977
46423,30933
2574,30766
2686,30265
38069,29389
46424,29072
49742,28732
49896,27831
4848,27756
27552,27637
37418,27576
51863,27449
65000,27424
44900,27408
46876,27198
10166,26957
39086,26936
2765,26932
2571,26870
5269,26806
49862,26722
49479,26583
3925,25910
48448,25876
56553,25448
44902,25281
39034,24991
44076,24547
39150,24535
32990,24368
56194,23645
49644,23633
2137,23529
2950,23441
53003,23393
41515,23222
16699,23214
16697,23214
48446,23008
4870,23006
64689,22962
2150,22515
1688,22348
49735,22186
52084,21873
60352,21871
1136,21780
51267,21706
55466,21652
5060,21624
1700,21500
44969,21443
2116,21443
37747,21375
1423,21344
38074,21305
48228,20988
1348,20775
57608,20761
18529,20752
59975,20715
54729,20707
2141,20477
1039,20416
2180,20390
49913,20139
2143,19775
61181,19651
57609,19635
22719,19606
59922,19598
52172,19547
44776,19426
3014,19345
45259,19296
49426,19289
56153,19085
37114,19083
3177,19030
2139,18920
57719,18841
2106,18839
50952,18740
54822,18589
25,18455
2726,18446
46427,18420
3149,18395
25105,18368
57877,18215
3017,18174
50490,18002
58338,17927
427,17840
59915,17757
4882,17678
55854,17641
39020,17611
43513,17603
4880,17575
49694,17411
2132,17406
39042,17317
45260,17315
2147,17233
22975,17227
4918,17201
32770,17182
2695,17153
57650,16924
10404,16920
4884,16821
53854,16727
50477,16636
57359,16603
20988,16565
2118,16511
2243,16279
2114,16262
39123,16260
1463,16250
4957,16229
2694,16177
39114,16001
49785,15987
49419,15915
4924,15773
16815,15762
10010,15688
49504,15682
4292,15654
47512,15643
38092,15534
39048,15520
34197,15511
57619,15488
4888,15296
17193,15261
3015,15217
36252,15178
1038,15166
51950,15105
52053,15095
51292,15091
46869,15075
37421,15039
42493,15033
3018,15012
36154,14987
46909,14963
21857,14834
1758,14745
64447,14677
45121,14665
2724,14564
39177,14506
2112,14462
39161,14458
5938,14448
57665,14439
39102,14423
39551,14419
59963,14391
1274,14374
61615,14288
36658,14212
19573,14192
49176,14133
2697,14118
53864,14098
51790,14034
17190,13999
2955,13954
50004,13928
54884,13907
4922,13825
49743,13804
1763,13795
5496,13791
4742,13726
49185,13700
55052,13667
49244,13525
2696,13395
2010,13385
12598,13361
1352,13308
2953,13293
49753,13276
49810,13270
2698,13253
48449,13215
49799,13212
2699,13194
1194,13152
59992,13109
17289,13097
2128,13091
4928,13071
3019,13040
2799,12885
49422,12734
61225,12713
46098,12710
34021,12679
2725,12668
2719,12652
49761,12641
57630,12585
26523,12544
4926,12536
46392,12468
49690,12449
47321,12375
39062,12368
4800,12302
5223,12300
49429,12290
64999,12269
2126,12247
49421,12209
50421,12200
24973,12119
49337,12059
2062,12056
3597,12045
49188,12022
50380,12003
50087,12003
1787,11999
49929,11999
2956,11917
49808,11898
